Date,City,Cause of Death
04/26/2013,Victoria -  Australia,Veh. Accid-Pedestr.
08/26/2013,Haberfield -  New South Wales -  Australia,Veh. Accid-Motorcy.
10/07/2013,Kurnell -  New South Wales -  Australia,Drowning
10/20/2013,Frankston -  Victoria -  Australia,Suicide
10/26/2013,Western Australia,Drowning
12/14/2013,Euroa -  Victoria -  Australia,Other Accident
12/22/2013,Hay Point -  Australia,Suicide
02/10/2014,Queensland,Suicide
03/08/2014,Burleigh Heads -  Queensland,Other Accident
05/20/2014,Goulburn -  New South Wales,Drug-Related
06/10/2014,Queensland,Veh. Accid-Motorcy.
06/30/2014,New South Wales,Suicide
07/19/2014,Pheasants Nest -  New South Wales,Suicide
08/03/2014,Brewarrina - New South Wales,Veh. Accid-Motorcy.
08/09/2014,Muswellbrook - New South Wales,Suicide
09/09/2014,Wamberal -  New South Wales,Suicide
09/14/2014,Paddington - New South Wales,Suicide
09/24/2014, Queensland,Suicide
10/01/2014, Ingleburn -  New South Wales,Suicide
10/19/2014,Sydney,Suicide
12/25/2014,Queensland,Drowning
12/26/2014,Darling Point,Other Accident
01/13/2015,Gosnells -  Perth,Suicide
02/27/2015,New South Wales,Suicide
03/10/2015,Silverton -  New South Wales,Veh. Accid-Motorcy.
03/13/2015,Perth -  Western Australia,Suicide
03/20/2015,Bedforddale -  Near Jarrahdale -  Western Australia,Veh. Accid-Auto
03/21/2015,Carins -  Queensland,Drowning
07/07/2015,Surry Hills -  New South Wales,Suicide
08/06/2015,Cairns,Drowning
09/05/2015,Melbourne,Suicide
09/24/2015,Melbourne,Suicide
10/02/2015,Canberra,Other Accident
01/24/2016,Queensland,Veh. Accid-Motorcy.
02/19/2016,Queensland,Suicide
03/07/2016,Queensland,Drowning
06/01/2016,Queensland,Drowning
06/06/2016,New South Wales,Drowning
06/06/2016,Victoria,Homicide
07/16/2016,Victoria,Undetermined/Unknown
07/23/2016,Lithgow -  New South Wales,Homicide
10/27/2016,Goomboorian -  Queensland,Veh. Accid-Auto
10/30/2016,Wandandian -  Nowra -  New South Wales,Veh. Accid-Auto
11/07/2016,Nambour -  Queensland,Undetermined/unknown
12/06/2016,Tweed Heads -  New South Wales,Other Accident
12/15/2016,Liverpool -  New South Wales,Undetermined/Unknown
12/25/2016,Cottesloe -  Western Australia,Undetermined/Unknown
01/18/2017,Queensland,Drowning
02/10/2017,South Australia,Suicide
02/18/2017,New South Wales,Suicide
02/21/2017,Victoria,Air Accident
02/21/2017,Victoria,Air Accident
02/21/2017,Victoria,Air Accident
02/21/2017,Victoria,Air Accident
04/10/2017,Victoria,Veh. Accid-Bus
